filename,gs_base_rs,gs_base_ars,gs_base_ss,gs_multi_rs,gs_multi_ars,gs_multi_ss,gs_burnin_rs,gs_burnin_ars,gs_burnin_ss
data-k-3-298.csv,0.506586587,0.037338577,-0.038960943,0.50607007,0.026968319,0.5380853,0.513221221,0.016779756,0.073692369
data-k-3-299.csv,0.459547548,-0.018720765,0.020317398,0.510402402,0.020142602,0.425782664,0.366432432,-0.013815283,0.380336261
data-k-3-300.csv,0.57994995,0.172114231,0.060005033,0.591297297,0.204913756,0.511655252,0.706362362,0.386053514,0.306373752
data-k-3-301.csv,0.5437998,0.064802583,-0.03580615,0.67241041,0.297116246,0.382322537,0.588272272,0.197334605,0.249579379
data-k-3-302.csv,0.674338338,0.29223059,0.353210361,0.741323323,0.444149654,0.586523015,0.692980981,0.335609146,0.418505933
data-k-3-303.csv,0.697871872,0.200293871,-0.163967507,0.599071071,0.234191652,0.48410425,0.559481481,0.112446502,0.355996434
data-k-3-304.csv,0.71607007,0.429650933,0.120384497,0.715409409,0.415837144,0.478813485,0.794346346,0.589608472,0.4139567
data-k-3-305.csv,0.654086086,0.301818679,0.298510052,0.675491491,0.348151225,0.523222987,0.689131131,0.383228938,0.454918469
data-k-3-306.csv,0.483287287,0.021469973,-0.080990908,0.584424424,0.125100489,0.450569415,0.439715716,0.019323853,0.384027549
data-k-3-307.csv,0.589713714,0.135901958,0.14571304,0.631303303,0.226251837,0.514148408,0.603943944,0.168479278,0.235257678
data-k-3-308.csv,0.587961962,0.17126895,-0.146039735,0.63834034,0.244969251,0.365660723,0.608256256,0.221553799,0.152908824
data-k-3-309.csv,0.627091091,0.243183289,0.329719018,0.666858859,0.321262282,0.51373477,0.539663664,0.069254976,0.058853111
data-k-3-310.csv,0.529261261,0.097550268,0.025526429,0.539363363,0.139762804,0.457579605,0.629129129,0.242999995,-0.018918201
data-k-3-311.csv,0.538740741,0.075449837,-0.15678783,0.615491491,0.17314832,0.308412683,0.565033033,0.116225487,-0.0922236
data-k-3-312.csv,0.477305305,0.020739374,-0.090843497,0.547401401,0.074386791,0.519997344,0.526218218,0.075841803,0.198948357
data-k-3-313.csv,0.941615616,0.845162215,0.765171571,0.926296296,0.811004468,0.725543663,0.942132132,0.847744213,0.742201706
data-k-3-314.csv,0.524558559,0.10164681,-0.273671977,0.655103103,0.291591477,0.173182309,0.610764765,0.183911478,0.05256842
data-k-3-315.csv,0.423703704,-0.014155408,-0.371888789,0.510886887,-0.015023102,0.098408771,0.460192192,0.009967999,-0.205429158
data-k-3-316.csv,0.477555556,-0.000372992,-0.001471049,0.486054054,0.014756338,0.170994958,0.499101101,-0.002323792,0.03920129
data-k-3-317.csv,0.560172172,0.109718075,-0.13674434,0.508968969,0.107023192,0.250955432,0.648116116,0.196079375,0.108798948
data-k-3-318.csv,0.694716717,0.390630962,0.171301284,0.782808809,0.566508539,0.520697422,0.735471471,0.472163795,0.340000836
data-k-3-319.csv,0.514214214,0.03265338,-0.292533842,0.546786787,0.046630305,0.286414134,0.505757758,0.01733646,-0.138226695
