filename,true_clusters,pred_clusters,gs_rs,gs_ars,gs_ss,gs_burnin_rs,gs_burnin_ars,gs_burnin_ss
data-k-8-0.csv,8,3,0.8208415841584158,0.5829547654447529,0.5635797595475679,0.8507175317531753,0.6468738068594271,0.6215347558693873
data-k-8-1.csv,8,4,0.8969034503450345,0.7193063630406119,0.6866229546497182,0.9002524852485249,0.7284980409347941,0.6971753549139725
data-k-8-2.csv,8,2,0.48768988898889887,0.17953984865499956,0.6422480008635157,0.5016880888088809,0.19294474660959046,0.6572786802829377
data-k-8-3.csv,8,2,0.4507038703870387,0.123883024983092,0.46574329779416457,0.5073034503450345,0.18262354307938486,0.5286299422364155
data-k-8-4.csv,8,7,0.9000263826382638,0.7242355429611981,0.6322411123071592,0.9163327332733273,0.7449754478694551,0.68039127899767
data-k-8-5.csv,8,2,0.6974479447944795,0.4083875489195039,0.875786253477703,0.697492809280928,0.40844900377008286,0.8758600325854411
data-k-8-6.csv,8,3,0.7564687468746875,0.41257504570726594,0.6867570075806102,0.7656570657065707,0.4320877256715365,0.7117853034542108
data-k-8-7.csv,8,3,0.700014601460146,0.3674221332782863,0.6838690386510727,0.704799799979998,0.3747753763244871,0.6899547710331899
data-k-8-8.csv,8,5,0.8503836383638363,0.6280336658749925,0.43082858872821905,0.8845824382438244,0.7095622241933728,0.5323541783403917
data-k-8-9.csv,8,5,0.7666562256225623,0.3015259048415606,0.30154681485173657,0.8197672767276728,0.429715225165613,0.4823566787589238
data-k-8-10.csv,8,2,0.6567985598559856,0.33171347143871044,0.3646113579068042,0.7668857885788579,0.5347545875476358,0.5603414542738833
data-k-8-11.csv,8,4,0.8108936693669367,0.49436006284358375,0.36022711109244065,0.85318099809981,0.5950037597865706,0.5527007283492172
data-k-8-12.csv,8,4,0.6052904890489049,0.154578930710415,0.31549217832608367,0.6737873187318731,0.26728879892483953,0.5195329944510725
data-k-8-13.csv,8,2,0.47460488048804883,0.16756123654387986,0.6033154792266657,0.4948868686868687,0.1843613539438739,0.6236105799663392
data-k-8-14.csv,8,3,0.6501674567456746,0.2871273498973523,0.6281235115633605,0.6630568256825683,0.32924582852572476,0.6954569316158145
data-k-8-15.csv,8,2,0.6511497549754975,0.33157048550548507,0.7337663002945105,0.655797899789979,0.3383643711844104,0.7414190796716823
data-k-8-16.csv,8,2,0.6467247124712471,0.35459854899779975,0.7066699874136058,0.6526828882888289,0.3627568410336839,0.7181830870359467
data-k-8-17.csv,8,4,0.810199799979998,0.4693338799309319,0.5197994967083749,0.8310092809280928,0.522792746499923,0.61929678789447
data-k-8-18.csv,8,4,0.926435603560356,0.8072608600618507,0.666631576912536,0.938808600860086,0.840179304670979,0.7063626461527378
data-k-8-19.csv,8,2,0.6119870187018702,0.22394106166705838,0.2752079487619731,0.682396699669967,0.37296675172939486,0.42186398951027493
data-k-8-20.csv,8,2,0.6165731373137314,0.31556219051644324,0.7343049742921824,0.6172868886888689,0.31526216329650164,0.7391490425415748
data-k-8-21.csv,8,3,0.8027282328232823,0.536647446814375,0.7011375836758768,0.8096468446844685,0.5522294442029945,0.7089742015960964
data-k-8-22.csv,8,3,0.8108722872287228,0.5622111440210076,0.5404544154932485,0.8384165816581658,0.6253951534658704,0.5782446616241033
data-k-8-23.csv,8,3,0.5597396739673968,0.2301303914218279,0.6570458311663788,0.5853777577757776,0.24637459379428336,0.6775299953423537
data-k-8-24.csv,8,2,0.7927237723772377,0.5854621423952221,0.9003915775895915,0.7927237723772377,0.5854621423952221,0.9003915775895915
data-k-8-25.csv,8,4,0.7780822282228222,0.4313358077374489,0.4714723395422443,0.7960605060506051,0.46113761490005606,0.6156391559923915
data-k-8-26.csv,8,3,0.7724257625762576,0.5058297977022679,0.5234063041431217,0.7999600360036003,0.556634418445488,0.6126908223742021
data-k-8-27.csv,8,3,0.7585781578157815,0.5043406519741874,0.45804722209018994,0.8050626062606261,0.5847908564055219,0.5698489249263629
data-k-8-28.csv,8,2,0.6300362436243624,0.3121968253164507,0.6837857826578141,0.6377334333433343,0.32430636246554984,0.7023466141701002
data-k-8-29.csv,8,5,0.9118061206120612,0.7964934291440997,0.6951445822247919,0.8940996099609961,0.7488050470658628,0.6693307795719855
data-k-8-30.csv,8,2,0.5476751475147514,0.20116920838916336,0.7702490086186372,0.54985200520052,0.2029531848220219,0.7726290376095059
